site,start_time,end_time,duration_min,LAeq_peak,LAeq_mean
P1,2026-01-01 05:29:00,2026-01-01 05:31:00,3,67.5,63.53333333333333
P1,2026-01-01 14:14:00,2026-01-01 14:17:00,4,74.8,71.3
P1,2026-01-01 15:20:00,2026-01-01 15:22:00,3,75.1,71.96666666666667
P1,2026-01-01 17:36:00,2026-01-01 17:39:00,4,70.2,67.075
P1,2026-01-01 23:22:00,2026-01-01 23:24:00,3,62.3,59.833333333333336
P2,2026-01-01 01:58:00,2026-01-01 02:01:00,4,63.3,56.675
P2,2026-01-01 10:13:00,2026-01-01 10:17:00,5,72.3,65.84
P2,2026-01-01 14:04:00,2026-01-01 14:06:00,3,71.2,68.56666666666666
